ontology	issue_number	pr_number	case_type	difficulty	agent_config_tag	model	runtime	eval_repo_pr	f1	precision	recall	jaccard	case	agent
cell-ontology	3460	3508	new_term	medium	v3	claude-haiku-4.5	claude	101	0.0	0.0	0.0	0.0	cel#3460	std_claude_hai45
cell-ontology	3458	3505	new_term	medium	v3	claude-haiku-4.5	claude	100	0.0	0.0	0.0	0.0	cel#3458	std_claude_hai45
cell-ontology	3457	3467	new_term	medium	v3	claude-haiku-4.5	claude	99	0.0	0.0	0.0	0.0	cel#3457	std_claude_hai45
cell-ontology	3447	3448	other	medium	v3	claude-haiku-4.5	claude	98	0.5	0.375	0.75	0.333	cel#3447	std_claude_hai45
cell-ontology	3408	3522	other	hard	v3	claude-haiku-4.5	claude	97	0.481	0.338	0.839	0.317	cel#3408	std_claude_hai45
cell-ontology	3382	3440	axiom_repair	simple	v3	claude-haiku-4.5	claude	96	1.0	1.0	1.0	1.0	cel#3382	std_claude_hai45
cell-ontology	3379	3444	reclassification	simple	v3	claude-haiku-4.5	claude	95	0.5	0.5	0.5	0.333	cel#3379	std_claude_hai45
cell-ontology	3332	3333	bulk_edit	medium	v3	claude-haiku-4.5	claude	93	0.414	0.3	0.667	0.261	cel#3332	std_claude_hai45
cell-ontology	3267	3268	documentation	simple	v3	claude-haiku-4.5	claude	92	0.467	0.933	0.311	0.304	cel#3267	std_claude_hai45
cell-ontology	3259	3450	new_term	medium	v3	claude-haiku-4.5	claude	91	0.706	0.545	1.0	0.545	cel#3259	std_claude_hai45
cell-ontology	3252	3253	new_term	medium	v3	claude-haiku-4.5	claude	90	0.0	0.0	0.0	0.0	cel#3252	std_claude_hai45
cell-ontology	3243	3251	axiom_repair	medium	v3	claude-haiku-4.5	claude	89	0.48	0.353	0.75	0.316	cel#3243	std_claude_hai45
cell-ontology	3224	3225	obsoletion	medium	v3	claude-haiku-4.5	claude	88	0.0	0.0	0.0	0.0	cel#3224	std_claude_hai45
cell-ontology	3196	3248	new_term	medium	v3	claude-haiku-4.5	claude	87	0.0	0.0	0.0	0.0	cel#3196	std_claude_hai45
cell-ontology	3239	3245	reclassification	medium	v3	claude-haiku-4.5	claude	86	0.353	0.273	0.5	0.214	cel#3239	std_claude_hai45
cell-ontology	3224	3225	obsoletion	medium	v3	gpt-5.5	codex	85	0.0	0.0	0.0	0.0	cel#3224	std_codex_g55
cell-ontology	2967	3309	axiom_repair	simple	v3	claude-haiku-4.5	claude	84	0.5	0.5	0.5	0.333	cel#2967	std_claude_hai45
cell-ontology	3457	3467	new_term	medium	v3	gpt-5.4	codex	83	0.0	0.0	0.0	0.0	cel#3457	std_codex_g54
cell-ontology	3259	3450	new_term	medium	v3	gpt-5.4	codex	82	0.0	0.0	0.0	0.0	cel#3259	std_codex_g54
cell-ontology	3267	3268	documentation	simple	v3	gpt-5.4	codex	81	0.897	0.867	0.929	0.812	cel#3267	std_codex_g54
cell-ontology	3353	3354	new_term	medium	v3	gpt-5.4	codex	80	0.034	0.024	0.062	0.018	cel#3353	std_codex_g54
cell-ontology	3239	3245	reclassification	medium	v3	gpt-5.5	codex	79	0.316	0.273	0.375	0.188	cel#3239	std_codex_g55
cell-ontology	3447	3448	other	medium	v3	gpt-5.4	codex	78	0.429	0.375	0.5	0.273	cel#3447	std_codex_g54
cell-ontology	3239	3245	reclassification	medium	v3	gpt-5.4	codex	77	0.343	0.273	0.462	0.207	cel#3239	std_codex_g54
cell-ontology	3382	3440	axiom_repair	simple	v3	gpt-5.4	codex	76	0.667	1.0	0.5	0.5	cel#3382	std_codex_g54
cell-ontology	3332	3333	bulk_edit	medium	v3	gpt-5.4	codex	75	0.407	0.3	0.632	0.255	cel#3332	std_codex_g54
cell-ontology	2967	3309	axiom_repair	simple	v3	gpt-5.4	codex	74	0.333	0.5	0.25	0.2	cel#2967	std_codex_g54
cell-ontology	3457	3467	new_term	medium	v3	gpt-5.5	opencode	73	0.093	0.05	0.583	0.049	cel#3457	std_opencode_g55
cell-ontology	3447	3448	other	medium	v3	gpt-5.5	opencode	72	0.462	0.375	0.6	0.3	cel#3447	std_opencode_g55
cell-ontology	3267	3268	documentation	simple	v3	gpt-5.5	opencode	71	0.897	0.867	0.929	0.812	cel#3267	std_opencode_g55
cell-ontology	3454	3555	axiom_repair	medium	v3	gpt-5.5	opencode	70	0.667	0.75	0.6	0.5	cel#3454	std_opencode_g55
cell-ontology	3408	3522	other	hard	v3	gpt-5.5	opencode	69	0.614	0.558	0.683	0.443	cel#3408	std_opencode_g55
cell-ontology	3519	3520	new_term	simple	v3	gpt-5.5	opencode	68	0.0	0.0	0.0	0.0	cel#3519	std_opencode_g55
cell-ontology	3460	3508	new_term	medium	v3	gpt-5.5	opencode	67	0.5	0.571	0.444	0.333	cel#3460	std_opencode_g55
cell-ontology	3458	3505	new_term	medium	v3	gpt-5.5	opencode	66	0.0	0.0	0.0	0.0	cel#3458	std_opencode_g55
cell-ontology	3259	3450	new_term	medium	v3	gpt-5.5	opencode	65	0.696	0.727	0.667	0.533	cel#3259	std_opencode_g55
cell-ontology	3379	3444	reclassification	simple	v3	gpt-5.5	opencode	64	0.8	1.0	0.667	0.667	cel#3379	std_opencode_g55
cell-ontology	3353	3354	new_term	medium	v3	gpt-5.5	opencode	62	0.0	0.0	0.0	0.0	cel#3353	std_opencode_g55
cell-ontology	3382	3440	axiom_repair	simple	v3	gpt-5.5	opencode	61	1.0	1.0	1.0	1.0	cel#3382	std_opencode_g55
cell-ontology	3332	3333	bulk_edit	medium	v3	gpt-5.5	opencode	60	0.414	0.3	0.667	0.261	cel#3332	std_opencode_g55
